identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
https://ring.com/*,OTHER,"",true,true,,,,critical,,2023-05-16 04:36:25 UTC,2024-01-16 18:02:58 UTC
https://api.ring.com/*,OTHER,"",true,true,,,,critical,,2023-05-16 04:36:38 UTC,2024-01-16 18:02:58 UTC
https://fw.ring.com/*,OTHER,"",true,true,,,,critical,,2023-05-16 04:36:49 UTC,2024-01-16 18:02:58 UTC
https://app.ring.com/*,OTHER,"",true,true,,,,critical,,2023-05-16 04:37:24 UTC,2024-01-16 18:02:58 UTC
https://admin.ring.com/*,OTHER,"",true,true,,,,critical,,2023-05-16 04:37:39 UTC,2024-01-16 18:02:59 UTC
https://nw.ring.com/*,OTHER,"",true,true,,,,critical,,2023-05-16 04:37:49 UTC,2024-01-16 18:02:59 UTC
https://oauth.ring.com/*,OTHER,"",true,true,,,,critical,,2023-05-16 04:37:58 UTC,2024-01-16 18:02:59 UTC
https://billing.ring.com/*,OTHER,"",true,true,,,,critical,,2023-05-16 04:38:11 UTC,2024-01-16 18:02:59 UTC
prd-ring-web-us.prd.rings.solutions,URL,"",true,true,,,,critical,,2023-05-16 04:38:21 UTC,2024-01-16 18:02:59 UTC
https://*.immedia-semi.com/*,WILDCARD,"",true,true,,,,critical,,2023-05-16 04:38:31 UTC,2024-01-16 18:02:59 UTC
https://*.blinkforhome.com/*,WILDCARD,"",true,true,,,,critical,,2023-05-16 04:38:41 UTC,2024-01-16 18:02:59 UTC
Video Doorbell,HARDWARE,"2nd Gen, 3 & 3 Plus, ASINs: B0849J7W5X, B08N5NQ869, B07WLP395R",true,true,,,,critical,,2023-05-16 04:39:08 UTC,2024-01-16 18:03:23 UTC
Peephole Cam,HARDWARE,ASIN: B07WHMQNPC,true,true,,,,critical,,2023-05-16 04:39:33 UTC,2024-01-16 18:03:23 UTC
Indoor Cam,HARDWARE,ASIN: B07Q9VBYV8,true,true,,,,critical,,2023-05-16 04:40:01 UTC,2024-01-16 18:03:23 UTC
Stickup Cam,HARDWARE,"Gen 3, ASIN: B07Q3T177V",true,true,,,,critical,,2023-05-16 04:40:24 UTC,2024-01-16 18:03:23 UTC
Chime,HARDWARE,"Gen 2 and 2 Pro, ASIN: B07WML2XTD, B07WML1QM4",true,true,,,,critical,,2023-05-16 04:40:48 UTC,2024-01-16 18:03:23 UTC
Ring Alarm,HARDWARE,"Gen 2, ASIN: B07ZPMCW64",true,true,,,,critical,,2023-05-16 04:41:38 UTC,2024-01-16 18:03:23 UTC
Ring Smart Lighting Bridge,HARDWARE,Gen 1,true,true,,,,critical,,2023-05-16 04:42:02 UTC,2024-01-16 18:03:23 UTC
Blink Outdoor,HARDWARE,ASIN: B086DKMSSM,true,true,,,,critical,,2023-05-16 04:42:30 UTC,2024-01-16 18:03:23 UTC
Blink Indoor,HARDWARE,ASIN: B086DL32QX,true,true,,,,critical,,2023-05-16 04:42:49 UTC,2024-01-16 18:03:23 UTC
Blink Sync Module 2,HARDWARE,ASIN: B084RQ6MHJ,true,true,,,,critical,,2023-05-16 04:43:14 UTC,2024-01-16 18:03:23 UTC
Blink Mini,HARDWARE,ASIN: B07X27VK3D,true,true,,,,critical,,2023-05-16 04:43:40 UTC,2024-01-16 18:03:23 UTC
Blink Video Doorbell,HARDWARE,https://www.amazon.com/dp/B08SG2MS3V,true,true,,,,critical,,2023-05-16 04:44:16 UTC,2024-01-16 18:03:23 UTC
com.immediasemi.android.blink,GOOGLE_PLAY_APP_ID,"",true,true,,,,critical,,2023-05-16 04:44:36 UTC,2024-01-16 18:03:23 UTC
com.ring.neighborhoods,GOOGLE_PLAY_APP_ID,"",true,true,,,,critical,,2023-05-16 04:44:46 UTC,2024-01-16 18:03:24 UTC
com.ringapp,GOOGLE_PLAY_APP_ID,"",true,true,,,,critical,,2023-05-16 04:45:00 UTC,2024-01-16 18:03:24 UTC
1013961111,APPLE_STORE_APP_ID,"",true,true,,,,critical,,2023-05-16 04:45:13 UTC,2024-01-16 18:03:24 UTC
1218902777,APPLE_STORE_APP_ID,https://apps.apple.com/us/app/id1218902777,true,true,,,,critical,,2023-05-16 04:45:27 UTC,2024-10-18 01:21:07 UTC
926252661,APPLE_STORE_APP_ID,"",true,true,,,,critical,,2023-05-16 04:45:41 UTC,2024-01-16 18:03:24 UTC
Devices,OTHER,Placeholder for the Rewards modal,false,false,,,,none,,2023-05-16 04:46:54 UTC,2024-01-16 18:03:25 UTC
"Services, Apps, Mobile",OTHER,"Placeholder for the Rewards modal
",false,false,,,,none,,2023-05-16 04:47:15 UTC,2024-01-16 18:03:25 UTC
Anything not in scope,OTHER,"",false,false,,,,none,,2023-05-16 04:47:45 UTC,2024-01-16 18:03:25 UTC
publicsafety.ring.com,URL,"",true,true,,,,critical,,2025-05-12 23:44:01 UTC,2025-05-12 23:44:01 UTC
